x,y,z
437.26755,-1029.201,472.52612
439.35043,-1028.7245,472.85834
441.43332,-1028.248,473.19055
443.51617,-1027.7715,473.52277
445.59906,-1027.2949,473.85498
447.68195,-1026.8184,474.1872
449.76483,-1026.3418,474.5194
451.8477,-1025.8652,474.85162
453.93057,-1025.3888,475.18384
456.01346,-1024.9122,475.51605
458.0963,-1024.4357,475.84827
460.1792,-1023.9591,476.18048
462.2621,-1023.48254,476.5127
464.34497,-1023.00604,476.8449
466.42786,-1022.5295,477.17712
468.5107,-1022.0529,477.50934
470.5936,-1021.5764,477.84155
472.67648,-1021.09985,478.17377
474.75934,-1020.6233,478.50598
476.84222,-1020.1468,478.8382
473.9544,-1009.85205,482.17682
471.87152,-1010.3286,481.8446
469.78864,-1010.8052,481.5124
467.70575,-1011.2817,481.18018
465.6229,-1011.75824,480.84796
463.54,-1012.2348,480.51575
461.45712,-1012.7113,480.1835
459.37427,-1013.18787,479.8513
457.29138,-1013.6644,479.51907
455.2085,-1014.1409,479.18686
453.1256,-1014.6175,478.85464
451.04272,-1015.09406,478.52243
448.95987,-1015.57056,478.19022
446.87698,-1016.0471,477.858
444.7941,-1016.5237,477.5258
442.71124,-1017.00024,477.19357
440.62836,-1017.47675,476.86136
438.54547,-1017.9533,476.52914
436.4626,-1018.4298,476.19693
434.37973,-1018.9064,475.86472
431.49188,-1008.6117,479.2033
433.57477,-1008.13513,479.53552
435.65765,-1007.6586,479.86774
437.7405,-1007.18207,480.19995
439.8234,-1006.7055,480.53217
441.90628,-1006.229,480.86438
443.98914,-1005.75244,481.1966
446.07202,-1005.2759,481.5288
448.1549,-1004.7993,481.86102
450.2378,-1004.3228,482.19324
452.32068,-1003.84625,482.52548
454.40353,-1003.3697,482.8577
456.48642,-1002.8932,483.1899
458.5693,-1002.4166,483.52213
460.65216,-1001.94006,483.85434
462.73505,-1001.46356,484.18655
464.81793,-1000.987,484.51877
466.90082,-1000.51044,484.85098
468.98367,-1000.03394,485.1832
471.06656,-999.5574,485.5154
468.17874,-989.2627,488.854
466.09586,-989.7392,488.5218
464.01297,-990.21576,488.18958
461.9301,-990.6923,487.85736
459.84723,-991.1688,487.52515
457.76434,-991.6454,487.19293
455.68146,-992.12195,486.86072
453.59857,-992.5985,486.5285
451.51572,-993.075,486.1963
449.43283,-993.5516,485.86407
447.34995,-994.0281,485.53186
445.2671,-994.50464,485.19965
443.1842,-994.9812,484.86743
441.10132,-995.45776,484.53522
439.01843,-995.93427,484.203
436.93555,-996.4108,483.8708
434.8527,-996.8874,483.53854
432.7698,-997.3639,483.20633
430.68692,-997.84045,482.8741
428.60406,-998.317,482.5419
425.71622,-988.0223,485.88052
427.7991,-987.5458,486.21274
429.882,-987.0692,486.54495
431.96484,-986.59265,486.87717
434.04773,-986.11615,487.20938
436.1306,-985.6396,487.5416
438.21347,-985.163,487.8738
440.29636,-984.6865,488.20602
442.37924,-984.20996,488.53824
444.46213,-983.7334,488.87045
446.54498,-983.25684,489.20267
448.62787,-982.78033,489.53488
450.71075,-982.3038,489.8671
452.79364,-981.8272,490.1993
454.8765,-981.3507,490.53152
456.95938,-980.87415,490.86374
459.04227,-980.3976,491.19595
461.12515,-979.9211,491.52817
463.208,-979.4445,491.86038
465.2909,-978.96796,492.19263
462.40308,-968.6733,495.53122
460.3202,-969.14984,495.199
458.2373,-969.62634,494.8668
456.15442,-970.1029,494.53458
454.07156,-970.57947,494.20233
451.98868,-971.056,493.87012
449.9058,-971.53253,493.5379
447.8229,-972.0091,493.2057
445.74005,-972.48566,492.87347
443.65717,-972.96216,492.54126
441.57428,-973.4387,492.20905
439.4914,-973.9153,491.87683
437.40854,-974.3918,491.54462
435.32565,-974.86835,491.2124
